game_id,temporada,fecha,equipo_local,equipo_visitante,club_local_id,club_visitante_id,home_pts_avg_5,home_pts_conceded_avg_5,home_win_rate_5,away_pts_avg_5,away_pts_conceded_avg_5,away_win_rate_5,pts_diff_5,win_rate_diff_5,home_pts_avg_10,home_pts_conceded_avg_10,home_win_rate_10,away_pts_avg_10,away_pts_conceded_avg_10,away_win_rate_10,pts_diff_10,win_rate_diff_10,home_win_rate_3,away_win_rate_3,win_rate_diff_3,home_streak_5,away_streak_5,home_pt_diff_avg_5,away_pt_diff_avg_5,pt_diff_diff_5,h2h_home_wins,h2h_total,h2h_home_rate,is_home,target
2020_1106_41_214,2020-21,2020-11-06 00:00:00+00:00,BG Goettingen,MHP Riesen Ludwigsburg,214,41,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.5,1,0
2020_1107_2745_127,2020-21,2020-11-07 00:00:00+00:00,Ratiopharm Ulm,FITOne Wuerzburg Baskets,127,2745,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.5,1,1
2020_1108_10_3361,2020-21,2020-11-08 00:00:00+00:00,Fraport Skyliners Frankfurt,ALBA Berlin,3361,10,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.5,1,0
2020_1108_40_1634,2020-21,2020-11-08 00:00:00+00:00,EWE Baskets Oldenburg,Basketball Loewen Braunschweig,1634,40,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.5,1,1
2020_1108_19629_132,2020-21,2020-11-08 00:00:00+00:00,Bamberg Baskets,Veolia Towers Hamburg,132,19629,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.5,1,0
2020_1108_219_2457,2020-21,2020-11-08 00:00:00+00:00,Rasta Vechta,FC Bayern Muenchen Basketball,2457,219,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.5,1,0
2020_1113_2457_2745,2020-21,2020-11-13 00:00:00+00:00,FITOne Wuerzburg Baskets,Rasta Vechta,2745,2457,77.0,90.0,0.0,78.0,90.0,0.0,-1.0,0.0,77.0,90.0,0.0,78.0,90.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-13.0,-12.0,-1.0,0,0,0.5,1,1
2020_1114_127_134,2020-21,2020-11-14 00:00:00+00:00,Medi Bayreuth,Ratiopharm Ulm,134,127,,,,90.0,77.0,1.0,,,,,,90.0,77.0,1.0,,,,1.0,,,1.0,,13.0,,0,0,0.5,1,0
2020_1114_214_40,2020-21,2020-11-14 00:00:00+00:00,Basketball Loewen Braunschweig,BG Goettingen,40,214,83.0,111.0,0.0,73.0,100.0,0.0,10.0,0.0,83.0,111.0,0.0,73.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-28.0,-27.0,-1.0,0,0,0.5,1,0
2020_1114_450_2315,2020-21,2020-11-14 00:00:00+00:00,Merlins Crailsheim,SYNTAINICS MBC Weissenfels,2315,450,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.5,1,1
2020_1115_1510_41,2020-21,2020-11-15 00:00:00+00:00,MHP Riesen Ludwigsburg,Telekom Baskets Bonn,41,1510,100.0,73.0,1.0,,,,,,100.0,73.0,1.0,,,,,,1.0,,,1.0,,27.0,,,0,0,0.5,1,1
2020_1115_3361_219,2020-21,2020-11-15 00:00:00+00:00,FC Bayern Muenchen Basketball,Fraport Skyliners Frankfurt,219,3361,90.0,78.0,1.0,66.0,79.0,0.0,24.0,1.0,90.0,78.0,1.0,66.0,79.0,0.0,24.0,1.0,1.0,0.0,1.0,1.0,-1.0,12.0,-13.0,25.0,0,0,0.5,1,1
2020_1115_1634_10,2020-21,2020-11-15 00:00:00+00:00,ALBA Berlin,EWE Baskets Oldenburg,10,1634,79.0,66.0,1.0,111.0,83.0,1.0,-32.0,0.0,79.0,66.0,1.0,111.0,83.0,1.0,-32.0,0.0,1.0,1.0,0.0,1.0,1.0,13.0,28.0,-15.0,0,0,0.5,1,1
2020_1119_134_1510,2020-21,2020-11-19 00:00:00+00:00,Telekom Baskets Bonn,Medi Bayreuth,1510,134,82.0,86.0,0.0,76.0,104.0,0.0,6.0,0.0,82.0,86.0,0.0,76.0,104.0,0.0,6.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-4.0,-28.0,24.0,0,0,0.5,1,0
2020_1119_132_1791,2020-21,2020-11-19 00:00:00+00:00,NINERS Chemnitz,Bamberg Baskets,1791,132,,,,75.0,78.0,0.0,,,,,,75.0,78.0,0.0,,,,0.0,,,-1.0,,-3.0,,0,0,0.5,1,0
2020_1121_40_2457,2020-21,2020-11-21 00:00:00+00:00,Rasta Vechta,Basketball Loewen Braunschweig,2457,40,79.0,89.0,0.0,79.5,95.0,0.0,-0.5,0.0,79.0,89.0,0.0,79.5,95.0,0.0,-0.5,0.0,0.0,0.0,0.0,-2.0,-2.0,-10.0,-15.5,5.5,0,0,0.5,1,0
2020_1121_1634_3361,2020-21,2020-11-21 00:00:00+00:00,Fraport Skyliners Frankfurt,EWE Baskets Oldenburg,3361,1634,59.0,77.0,0.0,98.5,86.0,0.5,-39.5,-0.5,59.0,77.0,0.0,98.5,86.0,0.5,-39.5,-0.5,0.0,0.5,-0.5,-2.0,0.0,-18.0,12.5,-30.5,0,0,0.5,1,0
2020_1121_1791_214,2020-21,2020-11-21 00:00:00+00:00,BG Goettingen,NINERS Chemnitz,214,1791,76.0,88.0,0.5,86.0,93.0,0.0,-10.0,0.5,76.0,88.0,0.5,86.0,93.0,0.0,-10.0,0.5,0.5,0.0,0.5,0.0,-1.0,-12.0,-7.0,-5.0,0,0,0.5,1,1
2020_1121_133_127,2020-21,2020-11-21 00:00:00+00:00,Ratiopharm Ulm,46ers Giessen,127,133,97.0,76.5,1.0,,,,,,97.0,76.5,1.0,,,,,,1.0,,,2.0,,20.5,,,0,0,0.5,1,1
2020_1122_2315_132,2020-21,2020-11-22 00:00:00+00:00,Bamberg Baskets,Merlins Crailsheim,132,2315,84.0,82.0,0.5,84.0,66.0,1.0,0.0,-0.5,84.0,82.0,0.5,84.0,66.0,1.0,0.0,-0.5,0.5,1.0,-0.5,0.0,1.0,2.0,18.0,-16.0,0,0,0.5,1,0
2020_1122_10_1510,2020-21,2020-11-22 00:00:00+00:00,Telekom Baskets Bonn,ALBA Berlin,1510,10,79.5,84.5,0.0,84.0,76.0,1.0,-4.5,-1.0,79.5,84.5,0.0,84.0,76.0,1.0,-4.5,-1.0,0.0,1.0,-1.0,-2.0,2.0,-5.0,8.0,-13.0,0,0,0.5,1,0
2020_1122_134_450,2020-21,2020-11-22 00:00:00+00:00,SYNTAINICS MBC Weissenfels,Medi Bayreuth,450,134,66.0,84.0,0.0,79.5,90.5,0.5,-13.5,-0.5,66.0,84.0,0.0,79.5,90.5,0.5,-13.5,-0.5,0.0,0.5,-0.5,-1.0,0.0,-18.0,-11.0,-7.0,0,0,0.5,1,0
2020_1122_2745_19629,2020-21,2020-11-22 00:00:00+00:00,Veolia Towers Hamburg,FITOne Wuerzburg Baskets,19629,2745,78.0,75.0,1.0,82.5,85.0,0.5,-4.5,0.5,78.0,75.0,1.0,82.5,85.0,0.5,-4.5,0.5,1.0,0.5,0.5,1.0,0.0,3.0,-2.5,5.5,0,0,0.5,1,1
2020_1122_219_41,2020-21,2020-11-22 00:00:00+00:00,MHP Riesen Ludwigsburg,FC Bayern Muenchen Basketball,41,219,93.0,77.5,1.0,82.5,65.0,1.0,10.5,0.0,93.0,77.5,1.0,82.5,65.0,1.0,10.5,0.0,1.0,1.0,0.0,2.0,2.0,15.5,17.5,-2.0,0,0,0.5,1,0
2020_1203_1510_19629,2020-21,2020-12-03 00:00:00+00:00,Veolia Towers Hamburg,Telekom Baskets Bonn,19629,1510,84.0,68.0,1.0,77.66666666666667,88.66666666666667,0.0,6.333333333333329,1.0,84.0,68.0,1.0,77.66666666666667,88.66666666666667,0.0,6.333333333333329,1.0,1.0,0.0,1.0,2.0,-3.0,16.0,-11.0,27.0,0,0,0.5,1,1
2020_1204_1634_1791,2020-21,2020-12-04 00:00:00+00:00,NINERS Chemnitz,EWE Baskets Oldenburg,1791,1634,92.5,98.0,0.0,94.33333333333333,80.33333333333333,0.6666666666666666,-1.8333333333333286,-0.6666666666666666,92.5,98.0,0.0,94.33333333333333,80.33333333333333,0.6666666666666666,-1.8333333333333286,-0.6666666666666666,0.0,0.6666666666666666,-0.6666666666666666,-2.0,1.0,-5.5,14.0,-19.5,0,0,0.5,1,0
