game_id,fecha,equipo_local,club_local_id,equipo_visitante,club_visitante_id,pts_local,pts_visitante,ganador,temporada,is_playoff
2020_1106_41_214,2020-11-06T00:00:00+00:00,BG Goettingen,214,MHP Riesen Ludwigsburg,41,73,100,visitante,2020-21,0
2020_1107_2745_127,2020-11-07T00:00:00+00:00,Ratiopharm Ulm,127,FITOne Wuerzburg Baskets,2745,90,77,local,2020-21,0
2020_1108_10_3361,2020-11-08T00:00:00+00:00,Fraport Skyliners Frankfurt,3361,ALBA Berlin,10,66,79,visitante,2020-21,0
2020_1108_40_1634,2020-11-08T00:00:00+00:00,EWE Baskets Oldenburg,1634,Basketball Loewen Braunschweig,40,111,83,local,2020-21,0
2020_1108_19629_132,2020-11-08T00:00:00+00:00,Bamberg Baskets,132,Veolia Towers Hamburg,19629,75,78,visitante,2020-21,0
2020_1108_219_2457,2020-11-08T00:00:00+00:00,Rasta Vechta,2457,FC Bayern Muenchen Basketball,219,78,90,visitante,2020-21,0
2020_1113_2457_2745,2020-11-13T00:00:00+00:00,FITOne Wuerzburg Baskets,2745,Rasta Vechta,2457,88,80,local,2020-21,0
2020_1114_127_134,2020-11-14T00:00:00+00:00,Medi Bayreuth,134,Ratiopharm Ulm,127,76,104,visitante,2020-21,0
2020_1114_214_40,2020-11-14T00:00:00+00:00,Basketball Loewen Braunschweig,40,BG Goettingen,214,76,79,visitante,2020-21,0
2020_1114_450_2315,2020-11-14T00:00:00+00:00,Merlins Crailsheim,2315,SYNTAINICS MBC Weissenfels,450,84,66,local,2020-21,0
2020_1115_1510_41,2020-11-15T00:00:00+00:00,MHP Riesen Ludwigsburg,41,Telekom Baskets Bonn,1510,86,82,local,2020-21,0
2020_1115_3361_219,2020-11-15T00:00:00+00:00,FC Bayern Muenchen Basketball,219,Fraport Skyliners Frankfurt,3361,75,52,local,2020-21,0
2020_1115_1634_10,2020-11-15T00:00:00+00:00,ALBA Berlin,10,EWE Baskets Oldenburg,1634,89,86,local,2020-21,0
2020_1119_134_1510,2020-11-19T00:00:00+00:00,Telekom Baskets Bonn,1510,Medi Bayreuth,134,77,83,visitante,2020-21,0
2020_1119_132_1791,2020-11-19T00:00:00+00:00,NINERS Chemnitz,1791,Bamberg Baskets,132,86,93,visitante,2020-21,0
2020_1121_40_2457,2020-11-21T00:00:00+00:00,Rasta Vechta,2457,Basketball Loewen Braunschweig,40,78,96,visitante,2020-21,0
2020_1121_1634_3361,2020-11-21T00:00:00+00:00,Fraport Skyliners Frankfurt,3361,EWE Baskets Oldenburg,1634,69,86,visitante,2020-21,0
2020_1121_1791_214,2020-11-21T00:00:00+00:00,BG Goettingen,214,NINERS Chemnitz,1791,103,99,local,2020-21,0
2020_1121_133_127,2020-11-21T00:00:00+00:00,Ratiopharm Ulm,127,46ers Giessen,133,106,81,local,2020-21,0
2020_1122_2315_132,2020-11-22T00:00:00+00:00,Bamberg Baskets,132,Merlins Crailsheim,2315,95,101,visitante,2020-21,0
2020_1122_10_1510,2020-11-22T00:00:00+00:00,Telekom Baskets Bonn,1510,ALBA Berlin,10,74,97,visitante,2020-21,0
2020_1122_134_450,2020-11-22T00:00:00+00:00,SYNTAINICS MBC Weissenfels,450,Medi Bayreuth,134,81,99,visitante,2020-21,0
2020_1122_2745_19629,2020-11-22T00:00:00+00:00,Veolia Towers Hamburg,19629,FITOne Wuerzburg Baskets,2745,90,61,local,2020-21,0
2020_1122_219_41,2020-11-22T00:00:00+00:00,MHP Riesen Ludwigsburg,41,FC Bayern Muenchen Basketball,219,70,93,visitante,2020-21,0
2020_1203_1510_19629,2020-12-03T00:00:00+00:00,Veolia Towers Hamburg,19629,Telekom Baskets Bonn,1510,93,63,local,2020-21,0
2020_1204_1634_1791,2020-12-04T00:00:00+00:00,NINERS Chemnitz,1791,EWE Baskets Oldenburg,1634,73,119,visitante,2020-21,0
2020_1204_2315_214,2020-12-04T00:00:00+00:00,BG Goettingen,214,Merlins Crailsheim,2315,77,89,visitante,2020-21,0
2020_1206_1510_1634,2020-12-06T00:00:00+00:00,EWE Baskets Oldenburg,1634,Telekom Baskets Bonn,1510,97,92,local,2020-21,0
2020_1206_41_2315,2020-12-06T00:00:00+00:00,Merlins Crailsheim,2315,MHP Riesen Ludwigsburg,41,88,97,visitante,2020-21,0
2020_1206_127_2457,2020-12-06T00:00:00+00:00,Rasta Vechta,2457,Ratiopharm Ulm,127,73,74,visitante,2020-21,0
2020_1206_134_10,2020-12-06T00:00:00+00:00,ALBA Berlin,10,Medi Bayreuth,134,71,69,local,2020-21,0
2020_1206_1791_3361,2020-12-06T00:00:00+00:00,Fraport Skyliners Frankfurt,3361,NINERS Chemnitz,1791,83,70,local,2020-21,0
2020_1206_450_19629,2020-12-06T00:00:00+00:00,Veolia Towers Hamburg,19629,SYNTAINICS MBC Weissenfels,450,85,80,local,2020-21,0
2020_1206_219_214,2020-12-06T00:00:00+00:00,BG Goettingen,214,FC Bayern Muenchen Basketball,219,72,90,visitante,2020-21,0
2020_1206_133_132,2020-12-06T00:00:00+00:00,Bamberg Baskets,132,46ers Giessen,133,106,99,local,2020-21,0
2020_1206_2745_40,2020-12-06T00:00:00+00:00,Basketball Loewen Braunschweig,40,FITOne Wuerzburg Baskets,2745,93,89,local,2020-21,0
2020_1208_41_10,2020-12-08T00:00:00+00:00,ALBA Berlin,10,MHP Riesen Ludwigsburg,41,71,78,visitante,2020-21,0
2020_1208_450_219,2020-12-08T00:00:00+00:00,FC Bayern Muenchen Basketball,219,SYNTAINICS MBC Weissenfels,450,96,84,local,2020-21,0
2020_1208_40_133,2020-12-08T00:00:00+00:00,46ers Giessen,133,Basketball Loewen Braunschweig,40,85,93,visitante,2020-21,0
2020_1209_2315_1791,2020-12-09T00:00:00+00:00,NINERS Chemnitz,1791,Merlins Crailsheim,2315,76,88,visitante,2020-21,0
2020_1209_2457_134,2020-12-09T00:00:00+00:00,Medi Bayreuth,134,Rasta Vechta,2457,92,89,local,2020-21,0
2020_1210_19629_133,2020-12-10T00:00:00+00:00,46ers Giessen,133,Veolia Towers Hamburg,19629,79,100,visitante,2020-21,0
2020_1211_2457_1510,2020-12-11T00:00:00+00:00,Telekom Baskets Bonn,1510,Rasta Vechta,2457,80,69,local,2020-21,0
2020_1212_3361_41,2020-12-12T00:00:00+00:00,MHP Riesen Ludwigsburg,41,Fraport Skyliners Frankfurt,3361,94,80,local,2020-21,0
2020_1212_214_450,2020-12-12T00:00:00+00:00,SYNTAINICS MBC Weissenfels,450,BG Goettingen,214,93,85,local,2020-21,0
