game_id,fecha,equipo_local,club_local_id,equipo_visitante,club_visitante_id,pts_local,pts_visitante,ganador,temporada,is_playoff,fs_match_id,home_fga,home_fgm,home_fg_pct,home_fg2a,home_fg2m,home_fg2_pct,home_fg3a,home_fg3m,home_fg3_pct,home_fta,home_ftm,home_ft_pct,home_oreb,home_dreb,home_reb,home_ast,home_blk,home_tov,home_stl,home_pf,away_fga,away_fgm,away_fg_pct,away_fg2a,away_fg2m,away_fg2_pct,away_fg3a,away_fg3m,away_fg3_pct,away_fta,away_ftm,away_ft_pct,away_oreb,away_dreb,away_reb,away_ast,away_blk,away_tov,away_stl,away_pf,fs_match_orientation
2020_1106_41_214,2020-11-06T00:00:00+00:00,BG Goettingen,214,MHP Riesen Ludwigsburg,41,73,100,visitante,2020-21,0,Q5YtSoY4,56.0,26.0,46.43,28.0,17.0,60.71,28.0,9.0,32.14,18.0,12.0,66.7,9.0,19.0,28.0,19.0,2.0,14.0,4.0,24.0,65.0,36.0,55.38,40.0,26.0,65.0,25.0,10.0,40.0,25.0,18.0,72.0,13.0,24.0,37.0,23.0,1.0,9.0,7.0,20.0,reverse
2020_1107_2745_127,2020-11-07T00:00:00+00:00,Ratiopharm Ulm,127,FITOne Wuerzburg Baskets,2745,90,77,local,2020-21,0,0OQgPqIN,48.0,31.0,64.58,27.0,22.0,81.48,21.0,9.0,42.86,20.0,19.0,95.0,4.0,24.0,28.0,13.0,3.0,19.0,6.0,24.0,62.0,24.0,38.71,40.0,16.0,40.0,22.0,8.0,36.36,28.0,21.0,75.0,14.0,12.0,26.0,22.0,0.0,10.0,7.0,26.0,reverse
2020_1108_10_3361,2020-11-08T00:00:00+00:00,Fraport Skyliners Frankfurt,3361,ALBA Berlin,10,66,79,visitante,2020-21,0,foQcO3XT,65.0,25.0,38.46,46.0,20.0,43.48,19.0,5.0,26.32,16.0,11.0,68.8,11.0,24.0,35.0,15.0,0.0,10.0,10.0,14.0,63.0,31.0,49.21,32.0,20.0,62.5,31.0,11.0,35.48,7.0,6.0,85.7,9.0,29.0,38.0,25.0,5.0,14.0,5.0,18.0,reverse
2020_1108_40_1634,2020-11-08T00:00:00+00:00,EWE Baskets Oldenburg,1634,Basketball Loewen Braunschweig,40,111,83,local,2020-21,0,IgA7r7Io,60.0,35.0,58.33,37.0,25.0,67.57,23.0,10.0,43.48,35.0,31.0,88.6,11.0,24.0,35.0,22.0,0.0,8.0,10.0,25.0,60.0,28.0,46.67,38.0,21.0,55.26,22.0,7.0,31.82,27.0,20.0,74.1,12.0,14.0,26.0,15.0,0.0,14.0,1.0,22.0,reverse
2020_1108_19629_132,2020-11-08T00:00:00+00:00,Bamberg Baskets,132,Veolia Towers Hamburg,19629,75,78,visitante,2020-21,0,GlWOJNuo,59.0,26.0,44.07,29.0,15.0,51.72,30.0,11.0,36.67,16.0,12.0,75.0,4.0,26.0,30.0,18.0,2.0,16.0,7.0,22.0,64.0,27.0,42.19,45.0,19.0,42.22,19.0,8.0,42.11,26.0,16.0,61.5,14.0,29.0,43.0,16.0,1.0,13.0,4.0,22.0,reverse
2020_1108_219_2457,2020-11-08T00:00:00+00:00,Rasta Vechta,2457,FC Bayern Muenchen Basketball,219,78,90,visitante,2020-21,0,dp9BsRXi,55.0,24.0,43.64,38.0,17.0,44.74,17.0,7.0,41.18,30.0,23.0,76.7,8.0,20.0,28.0,22.0,0.0,11.0,4.0,18.0,57.0,35.0,61.4,33.0,24.0,72.73,24.0,11.0,45.83,12.0,9.0,75.0,3.0,27.0,30.0,25.0,3.0,10.0,4.0,24.0,reverse
2020_1113_2457_2745,2020-11-13T00:00:00+00:00,FITOne Wuerzburg Baskets,2745,Rasta Vechta,2457,88,80,local,2020-21,0,f3JGG1Nb,62.0,28.0,45.16,36.0,19.0,52.78,26.0,9.0,34.62,30.0,23.0,76.7,13.0,22.0,35.0,21.0,5.0,10.0,7.0,23.0,65.0,27.0,41.54,37.0,20.0,54.05,28.0,7.0,25.0,23.0,19.0,82.6,15.0,25.0,40.0,17.0,2.0,13.0,5.0,24.0,reverse
2020_1114_127_134,2020-11-14T00:00:00+00:00,Medi Bayreuth,134,Ratiopharm Ulm,127,76,104,visitante,2020-21,0,xS8LFLx5,62.0,29.0,46.77,41.0,22.0,53.66,21.0,7.0,33.33,16.0,11.0,68.8,11.0,24.0,35.0,17.0,1.0,15.0,4.0,19.0,62.0,37.0,59.68,34.0,24.0,70.59,28.0,13.0,46.43,22.0,17.0,77.3,6.0,23.0,29.0,29.0,0.0,12.0,6.0,17.0,reverse
2020_1114_214_40,2020-11-14T00:00:00+00:00,Basketball Loewen Braunschweig,40,BG Goettingen,214,76,79,visitante,2020-21,0,MFAXCJMN,75.0,30.0,40.0,55.0,25.0,45.45,20.0,5.0,25.0,15.0,13.0,86.7,17.0,26.0,43.0,10.0,3.0,9.0,4.0,20.0,57.0,29.0,50.88,32.0,21.0,65.63,25.0,8.0,32.0,18.0,15.0,83.3,5.0,27.0,32.0,19.0,2.0,11.0,4.0,19.0,reverse
2020_1114_450_2315,2020-11-14T00:00:00+00:00,Merlins Crailsheim,2315,SYNTAINICS MBC Weissenfels,450,84,66,local,2020-21,0,rPBTDa7H,61.0,28.0,45.9,31.0,20.0,64.52,30.0,8.0,26.67,27.0,22.0,81.5,11.0,32.0,43.0,17.0,2.0,13.0,8.0,22.0,67.0,22.0,32.84,38.0,15.0,39.47,29.0,7.0,24.14,21.0,15.0,71.4,14.0,24.0,38.0,6.0,4.0,14.0,5.0,23.0,reverse
