match_id,temporada,fecha,jornada,equipo_local,equipo_visitante,club_local_id,club_visitante_id,home_pts_avg_5,home_pts_conceded_avg_5,home_win_rate_5,away_pts_avg_5,away_pts_conceded_avg_5,away_win_rate_5,pts_diff_5,win_rate_diff_5,home_pts_avg_10,home_pts_conceded_avg_10,home_win_rate_10,away_pts_avg_10,away_pts_conceded_avg_10,away_win_rate_10,pts_diff_10,win_rate_diff_10,home_t3_pct_avg_5,home_t2_pct_avg_5,home_reb_avg_5,home_ast_avg_5,home_val_avg_5,away_t3_pct_avg_5,away_t2_pct_avg_5,away_reb_avg_5,away_ast_avg_5,away_val_avg_5,val_diff_5,home_streak_5,away_streak_5,h2h_home_wins,h2h_total,h2h_home_rate,is_home,target
101266,2020-21,2020-09-19 18:45:00+00:00,1,Herbalife Gran Canaria,RETAbet Bilbao Basket,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.5,1,1
101262,2020-21,2020-09-19 18:45:00+00:00,1,Acunsa GBC,Real Madrid,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.5,1,0
101263,2020-21,2020-09-20 10:30:00+00:00,1,Movistar Estudiantes,BAXI Manresa,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.5,1,0
101267,2020-21,2020-09-20 15:00:00+00:00,1,MoraBanc Andorra,UCAM Murcia CB,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.5,1,1
101038,2020-21,2020-09-20 16:30:00+00:00,1,TD Systems Baskonia,Valencia Basket Club,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.5,1,1
101269,2020-21,2020-09-20 18:00:00+00:00,1,Barça,Hereda San Pablo Burgos,2,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.5,1,1
101264,2020-21,2020-09-20 20:00:00+00:00,1,Monbus Obradoiro,Urbas Fuenlabrada,57,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.5,1,1
101265,2020-21,2020-09-21 18:30:00+00:00,1,Club Joventut Badalona,Unicaja,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.5,1,1
101268,2020-21,2020-09-21 18:30:00+00:00,1,Iberostar Tenerife,Casademont Zaragoza,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.5,1,1
101258,2020-21,2020-09-23 19:45:00+00:00,2,RETAbet Bilbao Basket,Iberostar Tenerife,4,28,102.0,107.0,0.0,91.0,86.0,1.0,11.0,-1.0,102.0,107.0,0.0,91.0,86.0,1.0,11.0,-1.0,0.4,0.561,31.0,14.0,97.0,0.303,0.5526,38.0,13.0,93.0,4.0,-1.0,1.0,0.0,0.0,0.5,1,0
