match_id,temporada,fecha,jornada,round_type,round_id,week_id,equipo_local,equipo_visitante,club_local_id,club_visitante_id,pts_local,pts_visitante,ganador,entrenador_local,entrenador_visitante,loc_asistencias,loc_faltas_cometidas,loc_perdidas,loc_reb_defensivos,loc_reb_ofensivos,loc_reb_totales,loc_recuperaciones,loc_t2_anotados,loc_t2_intentados,loc_t2_pct,loc_t3_anotados,loc_t3_intentados,loc_t3_pct,loc_tapones_contra,loc_tapones_favor,loc_tl_anotados,loc_tl_intentados,loc_tl_pct,loc_valoracion,vis_asistencias,vis_faltas_cometidas,vis_perdidas,vis_reb_defensivos,vis_reb_ofensivos,vis_reb_totales,vis_recuperaciones,vis_t2_anotados,vis_t2_intentados,vis_t2_pct,vis_t3_anotados,vis_t3_intentados,vis_t3_pct,vis_tapones_contra,vis_tapones_favor,vis_tl_anotados,vis_tl_intentados,vis_tl_pct,vis_valoracion
101038,2020-21,2020-09-20T16:30:00Z,1,LR,5126,2,TD Systems Baskonia,Valencia Basket Club,3,13,76,73,local,Dusko Ivanovic,Jaume Ponsarnau,19,17,12,15,9,24,15,19,39,0.4872,9,27,0.3333,0,1,11,12,0.9167,80,17,13,22,27,3,30,8,14,25,0.56,12,28,0.4286,1,0,9,11,0.8182,80
101039,2020-21,2021-03-14T11:30:00Z,26,LR,5131,24,Movistar Estudiantes,RETAbet Bilbao Basket,6,4,95,89,local,Jota Cuspinera,Álex Mumbrú,24,28,10,21,9,30,8,27,54,0.5,11,19,0.5789,2,5,8,13,0.6154,99,10,18,13,22,15,37,2,23,42,0.5476,7,29,0.2414,5,2,22,26,0.8462,85
101040,2020-21,2021-03-14T18:00:00Z,26,LR,5131,24,Coosur Real Betis,MoraBanc Andorra,15,22,69,61,local,Joan Plaza,Ibon Navarro,15,20,12,25,11,36,9,13,33,0.3939,8,21,0.381,6,4,19,26,0.7308,79,12,24,15,19,11,30,5,11,30,0.3667,9,28,0.3214,4,6,12,16,0.75,49
101041,2020-21,2021-03-14T11:30:00Z,26,LR,5131,24,BAXI Manresa,Urbas Fuenlabrada,10,17,90,76,local,Pedro Martínez,Javier Juárez,14,19,13,27,18,45,6,28,50,0.56,7,27,0.2593,5,1,13,18,0.7222,93,16,21,14,22,13,35,10,18,41,0.439,10,28,0.3571,1,5,10,19,0.5263,75
101042,2020-21,2021-03-13T17:00:00Z,26,LR,5131,24,Club Joventut Badalona,Monbus Obradoiro,8,57,91,84,local,Carles Duran,Moncho Fernández,17,24,12,22,7,29,8,26,42,0.619,7,22,0.3182,3,1,18,20,0.9,97,20,23,14,21,5,26,5,16,26,0.6154,12,31,0.3871,1,3,16,20,0.8,90
101043,2020-21,2021-03-13T19:45:00Z,26,LR,5131,24,Unicaja,Herbalife Gran Canaria,14,5,82,76,local,Fotis Katsikaris,Porfirio Fisac,14,23,14,25,5,30,4,25,42,0.5952,7,19,0.3684,3,0,11,17,0.6471,76,16,21,11,24,10,34,7,23,45,0.5111,6,19,0.3158,0,3,12,19,0.6316,85
101044,2020-21,2021-03-20T17:00:00Z,26,LR,5131,25,Lenovo Tenerife,UCAM Murcia CB,28,12,85,78,local,Txus Vidorreta,Sito Alonso,15,20,13,26,3,29,6,19,33,0.5758,7,20,0.35,1,1,26,28,0.9286,99,14,27,12,22,8,30,10,23,44,0.5227,7,22,0.3182,1,1,11,20,0.55,68
101045,2020-21,2021-03-13T19:45:00Z,26,LR,5131,24,Barça,Casademont Zaragoza,2,16,107,88,local,Sarunas Jasikevicius ,Sergio Hernández,16,17,15,25,8,33,6,23,36,0.6389,12,22,0.5455,1,2,25,27,0.9259,130,15,24,12,15,1,16,10,24,38,0.6316,10,24,0.4167,2,1,10,12,0.8333,79
101046,2020-21,2021-03-14T17:30:00Z,26,LR,5131,24,TD Systems Baskonia,Real Madrid,3,9,74,85,visitante,Dusko Ivanovic,Pablo Laso,13,17,6,17,6,23,6,17,38,0.4474,10,29,0.3448,5,1,10,12,0.8333,66,20,19,9,25,10,35,4,23,37,0.6216,9,23,0.3913,1,5,12,14,0.8571,107
101047,2020-21,2021-03-06T19:45:00Z,25,LR,5130,23,Urbas Fuenlabrada,Acunsa GBC,17,7,78,74,local,Javier Juárez,Marcelo Nicola,13,18,11,29,16,45,7,24,49,0.4898,4,19,0.2105,2,3,18,29,0.6207,91,16,27,15,25,7,32,6,17,32,0.5312,9,32,0.2812,3,2,13,18,0.7222,60
