feature,importance
win_rate_diff_10,0.13327152
win_rate_diff_5,0.04882433
away_win_rate_10,0.047099303
home_win_rate_5,0.042718675
home_win_rate_10,0.040526252
away_val_avg_5,0.038415086
val_diff_5,0.03633289
away_pts_conceded_avg_10,0.035734884
h2h_home_rate,0.03504898
away_pts_conceded_avg_5,0.03250208
home_pts_conceded_avg_10,0.030268
pts_diff_10,0.029319081
h2h_home_wins,0.028671557
home_val_avg_5,0.028479274
home_streak_5,0.028440699
home_pts_conceded_avg_5,0.026191313
away_ast_avg_5,0.02575687
h2h_total,0.02389778
home_pts_avg_5,0.02276882
home_t2_pct_avg_5,0.022511026
away_reb_avg_5,0.021817345
home_ast_avg_5,0.021550082
home_pts_avg_10,0.021464206
away_pts_avg_10,0.021382822
pts_diff_5,0.021293666
away_t2_pct_avg_5,0.020919187
away_streak_5,0.020652594
away_win_rate_5,0.020094918
home_t3_pct_avg_5,0.019104598
away_t3_pct_avg_5,0.018923389
home_reb_avg_5,0.018436711
away_pts_avg_5,0.017582146
is_home,0.0
